route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
167-13183,JUNE24-D08CAR-1_Weekday,10167001080620-JUNE24,,0,1670400,1670108_JUNE24,59702020-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001080707-JUNE24,,0,1670200,1670108_JUNE24,59702021-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001080801-JUNE24,,0,1670100,1670108_JUNE24,59702022-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001080854-JUNE24,,0,1670300,1670108_JUNE24,59702023-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081038-JUNE24,,0,1670200,1670108_JUNE24,59702024-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081126-JUNE24,,0,1670100,1670108_JUNE24,59702025-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081219-JUNE24,,0,1670300,1670108_JUNE24,59702026-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081407-JUNE24,,0,1670200,1670108_JUNE24,59702027-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081456-JUNE24,,0,1670100,1670108_JUNE24,59702028-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081555-JUNE24,,0,1670300,1670108_JUNE24,59702029-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081654-JUNE24,,0,1670400,1670108_JUNE24,59702030-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081755-JUNE24,,0,1670200,1670108_JUNE24,59702031-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081843-JUNE24,,0,1670100,1670108_JUNE24,59702032-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001102248-JUNE24,,0,1670300,1670110_JUNE24,59702033-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001090624-JUNE24,,1,1670100,1670109_JUNE24,59702034-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001090708-JUNE24,,1,1670300,1670109_JUNE24,59702035-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001090803-JUNE24,,1,1670400,1670109_JUNE24,59702036-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001090855-JUNE24,,1,1670200,1670109_JUNE24,59702037-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001090942-JUNE24,,1,1670100,1670109_JUNE24,59702038-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091033-JUNE24,,1,1670300,1670109_JUNE24,59702039-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091222-JUNE24,,1,1670200,1670109_JUNE24,59702040-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091651-JUNE24,,1,1670100,1670109_JUNE24,59702041-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091407-JUNE24,,1,1670300,1670109_JUNE24,59702042-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091506-JUNE24,,1,1670400,1670109_JUNE24,59702043-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091601-JUNE24,,1,1670200,1670109_JUNE24,59702044-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091751-JUNE24,,1,1670300,1670109_JUNE24,59702045-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091849-JUNE24,,1,1670400,1670109_JUNE24,59702046-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001111938-JUNE24,,1,1670200,1670111_JUNE24,59702047-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001112022-JUNE24,,1,1670100,1670111_JUNE24,59702048-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001090538-JUNE24,,1,1670200,1670109_JUNE24,59702049-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001080948-JUNE24,,0,1670400,1670108_JUNE24,59702050-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001112120-JUNE24,,1,1670300,1670111_JUNE24,59702051-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091129-JUNE24,,1,1670400,1670109_JUNE24,59702052-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001112220-JUNE24,,1,1670400,1670111_JUNE24,59702053-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001080435-JUNE24,,0,1670100,1670108_JUNE24,59702054-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001080534-JUNE24,,0,1670300,1670108_JUNE24,59702055-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001101942-JUNE24,,0,1670300,1670110_JUNE24,59702056-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001102042-JUNE24,,0,1670400,1670110_JUNE24,59702057-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001102147-JUNE24,,0,1670100,1670110_JUNE24,59702058-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001081315-JUNE24,,0,1670400,1670108_JUNE24,59702059-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-1_Weekday,10167001091312-JUNE24,,1,1670100,1670109_JUNE24,59702060-JUNE24-D08CAR-1_Weekday
167-13183,JUNE24-D08CAR-2_Saturday,60167001120623-JUNE24,,0,1670400,1670112_JUNE24,59702085-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001120713-JUNE24,,0,1670200,1670112_JUNE24,59702086-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001120800-JUNE24,,0,1670100,1670112_JUNE24,59702087-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001120850-JUNE24,,0,1670300,1670112_JUNE24,59702088-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121030-JUNE24,,0,1670200,1670112_JUNE24,59702089-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121121-JUNE24,,0,1670100,1670112_JUNE24,59702090-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121211-JUNE24,,0,1670300,1670112_JUNE24,59702091-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121350-JUNE24,,0,1670200,1670112_JUNE24,59702092-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121445-JUNE24,,0,1670100,1670112_JUNE24,59702093-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121539-JUNE24,,0,1670300,1670112_JUNE24,59702094-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121637-JUNE24,,0,1670400,1670112_JUNE24,59702095-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121737-JUNE24,,0,1670200,1670112_JUNE24,59702096-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121838-JUNE24,,0,1670100,1670112_JUNE24,59702097-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001132242-JUNE24,,0,1670300,1670113_JUNE24,59702098-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001140630-JUNE24,,1,1670100,1670114_JUNE24,59702099-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001140719-JUNE24,,1,1670300,1670114_JUNE24,59702100-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001140809-JUNE24,,1,1670400,1670114_JUNE24,59702101-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001140855-JUNE24,,1,1670200,1670114_JUNE24,59702102-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001140943-JUNE24,,1,1670100,1670114_JUNE24,59702103-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141032-JUNE24,,1,1670300,1670114_JUNE24,59702104-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141212-JUNE24,,1,1670200,1670114_JUNE24,59702105-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141631-JUNE24,,1,1670100,1670114_JUNE24,59702106-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141354-JUNE24,,1,1670300,1670114_JUNE24,59702107-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141445-JUNE24,,1,1670400,1670114_JUNE24,59702108-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141537-JUNE24,,1,1670200,1670114_JUNE24,59702109-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141726-JUNE24,,1,1670300,1670114_JUNE24,59702110-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141820-JUNE24,,1,1670400,1670114_JUNE24,59702111-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001151918-JUNE24,,1,1670200,1670115_JUNE24,59702112-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001152015-JUNE24,,1,1670100,1670115_JUNE24,59702113-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001152120-JUNE24,,1,1670300,1670115_JUNE24,59702114-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001140540-JUNE24,,1,1670200,1670114_JUNE24,59702115-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001120534-JUNE24,,0,1670300,1670112_JUNE24,59702116-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001120435-JUNE24,,0,1670100,1670112_JUNE24,59702117-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001131942-JUNE24,,0,1670300,1670113_JUNE24,59702118-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001121300-JUNE24,,0,1670400,1670112_JUNE24,59702119-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001152220-JUNE24,,1,1670400,1670115_JUNE24,59702120-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001120940-JUNE24,,0,1670400,1670112_JUNE24,59702121-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141122-JUNE24,,1,1670400,1670114_JUNE24,59702122-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001132041-JUNE24,,0,1670400,1670113_JUNE24,59702123-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001132142-JUNE24,,0,1670100,1670113_JUNE24,59702124-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-2_Saturday,60167001141303-JUNE24,,1,1670100,1670114_JUNE24,59702125-JUNE24-D08CAR-2_Saturday
167-13183,JUNE24-D08CAR-3_Sunday,70167001120435-JUNE24,,0,1670100,1670112_JUNE24,59702144-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001140540-JUNE24,,1,1670200,1670114_JUNE24,59702145-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001120534-JUNE24,,0,1670300,1670112_JUNE24,59702146-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001140630-JUNE24,,1,1670100,1670114_JUNE24,59702148-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001120713-JUNE24,,0,1670200,1670112_JUNE24,59702149-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001140719-JUNE24,,1,1670300,1670114_JUNE24,59702150-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001120800-JUNE24,,0,1670100,1670112_JUNE24,59702151-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001120623-JUNE24,,0,1670400,1670112_JUNE24,59702153-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001140809-JUNE24,,1,1670400,1670114_JUNE24,59702154-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001120850-JUNE24,,0,1670300,1670112_JUNE24,59702155-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001140855-JUNE24,,1,1670200,1670114_JUNE24,59702156-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001120940-JUNE24,,0,1670400,1670112_JUNE24,59702157-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001140943-JUNE24,,1,1670100,1670114_JUNE24,59702158-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121030-JUNE24,,0,1670200,1670112_JUNE24,59702159-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141032-JUNE24,,1,1670300,1670114_JUNE24,59702160-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121121-JUNE24,,0,1670100,1670112_JUNE24,59702161-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141122-JUNE24,,1,1670400,1670114_JUNE24,59702162-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141212-JUNE24,,1,1670200,1670114_JUNE24,59702163-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121211-JUNE24,,0,1670300,1670112_JUNE24,59702164-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121300-JUNE24,,0,1670400,1670112_JUNE24,59702165-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141303-JUNE24,,1,1670100,1670114_JUNE24,59702166-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141354-JUNE24,,1,1670300,1670114_JUNE24,59702167-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121350-JUNE24,,0,1670200,1670112_JUNE24,59702168-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141537-JUNE24,,1,1670200,1670114_JUNE24,59702169-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141445-JUNE24,,1,1670400,1670114_JUNE24,59702170-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121539-JUNE24,,0,1670300,1670112_JUNE24,59702171-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121445-JUNE24,,0,1670100,1670112_JUNE24,59702172-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141631-JUNE24,,1,1670100,1670114_JUNE24,59702173-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121637-JUNE24,,0,1670400,1670112_JUNE24,59702174-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141726-JUNE24,,1,1670300,1670114_JUNE24,59702175-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121737-JUNE24,,0,1670200,1670112_JUNE24,59702176-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001141820-JUNE24,,1,1670400,1670114_JUNE24,59702177-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001121838-JUNE24,,0,1670100,1670112_JUNE24,59702178-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001151918-JUNE24,,1,1670200,1670115_JUNE24,59702179-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001131942-JUNE24,,0,1670300,1670113_JUNE24,59702180-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001152015-JUNE24,,1,1670100,1670115_JUNE24,59702181-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001132040-JUNE24,,0,1670400,1670113_JUNE24,59702183-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001152120-JUNE24,,1,1670300,1670115_JUNE24,59702184-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001132142-JUNE24,,0,1670100,1670113_JUNE24,59702185-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001152220-JUNE24,,1,1670400,1670115_JUNE24,59702186-JUNE24-D08CAR-3_Sunday
167-13183,JUNE24-D08CAR-3_Sunday,70167001132242-JUNE24,,0,1670300,1670113_JUNE24,59702187-JUNE24-D08CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000152120-JUNE24,,0,5010400,5010015_JUNE24,59702393-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000162039-JUNE24,,1,5010300,5010016_JUNE24,59702395-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151958-JUNE24,,0,5010100,5010015_JUNE24,59702396-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161959-JUNE24,,1,5010400,5010016_JUNE24,59702397-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151917-JUNE24,,0,5010300,5010015_JUNE24,59702399-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151835-JUNE24,,0,5010400,5010015_JUNE24,59702400-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161755-JUNE24,,1,5010300,5010016_JUNE24,59702401-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161837-JUNE24,,1,5010100,5010016_JUNE24,59702402-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151713-JUNE24,,0,5010100,5010015_JUNE24,59702403-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161715-JUNE24,,1,5010400,5010016_JUNE24,59702404-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151755-JUNE24,,0,5010200,5010015_JUNE24,59702405-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000152040-JUNE24,,0,5010200,5010015_JUNE24,59702406-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161918-JUNE24,,1,5010200,5010016_JUNE24,59702407-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151632-JUNE24,,0,5010300,5010015_JUNE24,59702408-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161635-JUNE24,,1,5010200,5010016_JUNE24,59702409-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151552-JUNE24,,0,5010400,5010015_JUNE24,59702411-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161555-JUNE24,,1,5010100,5010016_JUNE24,59702412-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151511-JUNE24,,0,5010200,5010015_JUNE24,59702413-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161515-JUNE24,,1,5010300,5010016_JUNE24,59702414-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151431-JUNE24,,0,5010100,5010015_JUNE24,59702415-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161436-JUNE24,,1,5010400,5010016_JUNE24,59702416-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151351-JUNE24,,0,5010300,5010015_JUNE24,59702417-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161356-JUNE24,,1,5010200,5010016_JUNE24,59702418-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151312-JUNE24,,0,5010400,5010015_JUNE24,59702419-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161316-JUNE24,,1,5010100,5010016_JUNE24,59702420-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161236-JUNE24,,1,5010300,5010016_JUNE24,59702421-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151233-JUNE24,,0,5010200,5010015_JUNE24,59702422-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151154-JUNE24,,0,5010100,5010015_JUNE24,59702423-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161156-JUNE24,,1,5010400,5010016_JUNE24,59702424-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151116-JUNE24,,0,5010300,5010015_JUNE24,59702425-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161117-JUNE24,,1,5010200,5010016_JUNE24,59702426-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000151037-JUNE24,,0,5010400,5010015_JUNE24,59702427-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000161039-JUNE24,,1,5010100,5010016_JUNE24,59702428-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000150959-JUNE24,,0,5010200,5010015_JUNE24,59702429-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000160959-JUNE24,,1,5010300,5010016_JUNE24,59702430-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000150920-JUNE24,,0,5010100,5010015_JUNE24,59702431-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000160919-JUNE24,,1,5010400,5010016_JUNE24,59702432-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000150840-JUNE24,,0,5010300,5010015_JUNE24,59702433-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000160840-JUNE24,,1,5010200,5010016_JUNE24,59702434-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000150801-JUNE24,,0,5010400,5010015_JUNE24,59702435-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000160801-JUNE24,,1,5010100,5010016_JUNE24,59702436-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000150723-JUNE24,,0,5010200,5010015_JUNE24,59702437-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000160722-JUNE24,,1,5010300,5010016_JUNE24,59702438-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000150644-JUNE24,,0,5010100,5010015_JUNE24,59702439-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000150603-JUNE24,,0,5010300,5010015_JUNE24,59702440-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000160603-JUNE24,,1,5010200,5010016_JUNE24,59702441-JUNE24-D15CAR-3_Sunday
501-13183,JUNE24-D15CAR-3_Sunday,70501000160642-JUNE24,,1,5010400,5010016_JUNE24,59702442-JUNE24-D15CAR-3_Sunday
205-13183,JUNE24-D97-1_Weekday,10205000991325-JUNE24,,0,2050700,2050099_JUNE24,59755915-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000991427-JUNE24,,0,2050300,2050099_JUNE24,59755916-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000991628-JUNE24,,0,2050100,2050099_JUNE24,59755917-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000991727-JUNE24,,0,2050500,2050099_JUNE24,59755918-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000991854-JUNE24,,0,2050900,2050099_JUNE24,59755919-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000991944-JUNE24,,0,2050400,2050099_JUNE24,59755920-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000992046-JUNE24,,0,2050800,2050099_JUNE24,59755921-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000992144-JUNE24,,0,2050500,2050099_JUNE24,59755922-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000930502-JUNE24,,1,2050200,2050093_JUNE24,59755923-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000930559-JUNE24,,1,2050700,2050093_JUNE24,59755924-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000930648-JUNE24,,1,2050300,2050093_JUNE24,59755925-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000930748-JUNE24,,1,2050600,2050093_JUNE24,59755926-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000930848-JUNE24,,1,2050100,2050093_JUNE24,59755927-JUNE24-D97-1_Weekday
205-13183,JUNE24-D97-1_Weekday,10205000931901-JUNE24,,1,2050100,2050093_JUNE24,59755928-JUNE24-D97-1_Weekday
